School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
NORTH BRONX SCHOOL OF EMPOWERM,X,11,LOW VOLTAGE ELECTRICAL SYSTEM,1060000,CIP,X113,3710 BARNES AVENUE,Bronx,10467,BRONX,40.880873,-73.860904,12,12,390,2058396,2046750020,Williamsbridge-Olinville,"(40.880873, -73.860904)"
BENJAMIN N. CARDOZO HS - QUEEN,Q,26,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,563911,CIP,Q415,57-00 223 STREET,Queens,11364,QUEENS,40.752333,-73.75599,11,11,138501,4161735,4075290001,Oakland Gardens,"(40.752333, -73.75599)"
P.S. 171 - MANHATTAN,M,4,FLOOD ELIM/WINDOWS/EXT MASONRY/HEATING PLANT UPG,16691000,CIP,M171,19 EAST 103 STREET,Manhattan,10029,MANHATTAN,40.792122,-73.951961,11,11,168,1051497,1016090007,East Harlem South,"(40.792122, -73.951961)"
JULIA RICHMAN H.S.,M,2,LL 41-16 COMPLIANCE,38865.86,CIP,M480,317 EAST 67 STREET,Manhattan,10065,MANHATTAN,40.765359,-73.960059,8,8,118,1083343,1014420001,Lenox Hill-Roosevelt Island,"(40.765359, -73.960059)"
P.S. 95 - BRONX,X,10,DEFECTIVE MASONRY/PARAPETS,7609000,CIP,X095,3961 HILLMAN AVENUE,Bronx,10463,BRONX,40.882898,-73.891256,8,8,281,2015472,2032520182,Van Cortlandt Village,"(40.882898, -73.891256)"
JOHN BOWNE HS - QUEENS,Q,25,EXTERIOR MASONRY/ROOFS,6600000,CIP,Q425,63-25 MAIN STREET,Queens,11367,QUEENS,40.738139,-73.824944,8,8,809,4439900,4065070001,Kew Gardens Hills,"(40.738139, -73.824944)"
P.S. 16 - QUEENS,Q,24,EXTERIOR MASONRY,1855000,CIP,Q721,41-15 104 STREET,Queens,11368,QUEENS,40.748987,-73.86123,4,4,403,4048820,4019850001,North Corona,"(40.748987, -73.86123)"
I.S. 419 - QUEENS,Q,24,New,0,CAP,Q419,111-10 ASTORIA BOULEVARD,Queens,11369,QUEENS,40.7599,-73.859218,3,3,373,4000000,4017050005,East Elmhurst,"(40.7599, -73.859218)"
I.S. 93 - QUEENS,Q,24,ACCESSIBILITY/WINDOWS/ROOFS/EXT MASONRY/PARAPETS,19726000,CIP,Q093,66-56 FOREST AVENUE,Queens,11385,QUEENS,40.706041,-73.902584,5,5,589,4083511,4034900001,Ridgewood,"(40.706041, -73.902584)"
P.S. 205 - QUEENS,Q,26,BOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,15560000,CIP,Q205,75-25 BELL BLVD,Queens,11364,QUEENS,40.737678,-73.756791,11,11,129103,4164007,4077530001,Oakland Gardens,"(40.737678, -73.756791)"
AUGUST MARTIN HS - QUEENS,Q,27,PLANYC BOILER/PLANYC CLIMATE CONTROL,9487000,CIP,Q400,156-10 BAISLEY BLVD,Queens,11434,QUEENS,40.675633,-73.783342,12,12,294,4265978,4122610001,Springfield Gardens North,"(40.675633, -73.783342)"
P.S. 50 - MANHATTAN,M,4,FY RESO A AUDITORIUM UPGRADE,738000,CIP,M050,433 EAST 100 STREET,Manhattan,10029,MANHATTAN,40.785258,-73.941526,11,11,162,1083933,1016940001,East Harlem South,"(40.785258, -73.941526)"
P.S. 25 - BRONX,X,7,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,11840000,CIP,X025,811 EAST 149 STREET,Bronx,10455,BRONX,40.812619,-73.906063,1,1,79,2004772,2026640001,Melrose South-Mott Haven North,"(40.812619, -73.906063)"
P.S. 95 - BROOKLYN,K,21,FY17 RESO A SUPPLEMENTAL COOLING,719500,CIP,K095,345 VAN SICKLEN STREET,Brooklyn,11223,BROOKLYN,40.595698,-73.97518,15,15,398,3192661,3071230066,Gravesend,"(40.595698, -73.97518)"
DEWITT CLINTON HS - X,X,10,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,588927,CIP,X440,100 W MOSHOLU PKWY S,Bronx,10468,BRONX,40.882178,-73.88691,7,7,409,2095215,2032510201,Van Cortlandt Village,"(40.882178, -73.88691)"
P.S. 155 - QUEENS,Q,27,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,1411569,CIP,Q155,130-02 115 AVENUE,Queens,11420,QUEENS,40.67956,-73.8106,10,10,176,4252357,4116730001,South Ozone Park,"(40.67956, -73.8106)"
ACADEMY OF AMERICAN STUDIES - QUEENS,Q,78,New,0,CAP,Q575,28-01 41ST AVENUE,Queens,11101,QUEENS,40.751356,-73.937445,1,1,33,4004874,4004040001,Queensbridge-Ravenswood-Long Island City,"(40.751356, -73.937445)"
CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,R,78,Addition,0,CAP,R453,105B HAMILTON AVENUE,Staten Is,10301,STATEN IS,40.644735,-74.081222,1,1,7,,,West New Brighton-New Brighton-St. George,"(40.644735, -74.081222)"
BROOKLYN TECH HS - K,K,13,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,4291000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,BROOKLYN,40.688834,-73.976905,2,2,33,3058752,3020980013,Fort Greene,"(40.688834, -73.976905)"
JAMES MADISON HS - BROOKLYN,K,22,SWIMMING POOL,5779000,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN,40.609912,-73.948512,15,15,642,3182721,3067880001,Madison,"(40.609912, -73.948512)"
P.S. 58 - STATEN ISLAND,R,31,METAL ROOFING,215000,CIP,R058,77 MARSH AVENUE,Staten Island,10314,STATEN IS,40.583139,-74.161862,2,2,27702,5145698,5024500305,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"(40.583139, -74.161862)"
